Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Take407All,Comments
2011-12-05,16:18,0,1,50.18,124.0,71.0,79.5,9.16,42.4,37.9,1,0
2011-12-01,16:15,3,1,51.55,129.6,74.2,83.7,8.690591397849461,41.7,36.9,1,0
2011-12-01,07:24,3,0,51.38,124.6,80.1,84.4,8.690591397849461,38.5,36.5,1,0
2011-11-30,16:11,2,1,51.09,128.7,71.5,76.7,8.690591397849461,42.9,39.9,1,0
2011-11-30,07:19,2,0,51.71,125.6,76.3,81.8,8.690591397849461,40.7,37.9,1,0
2011-11-29,16:52,1,1,51.0,121.4,68.4,75.4,8.690591397849461,44.7,40.6,1,0
2011-11-29,07:23,1,0,51.74,112.2,55.3,61.0,8.690591397849461,56.2,50.9,1,Heavy rain
2011-11-28,16:16,0,1,51.05,128.2,72.4,78.8,8.690591397849461,42.3,38.9,1,0
2011-11-28,07:26,0,0,51.63,127.1,71.0,75.5,8.690591397849461,43.6,41.1,1,0
2011-11-24,16:15,3,1,51.49,126.6,74.0,82.8,9.3,41.8,37.3,1,0
2011-11-24,07:23,3,0,51.69,124.9,73.3,80.3,9.3,42.3,38.6,1,0
2011-11-23,16:17,2,1,60.32,129.4,68.9,74.6,9.3,52.5,48.5,1,0
2011-11-23,07:22,2,0,51.6,126.4,67.3,73.6,9.3,46.0,42.1,1,0
2011-11-22,16:15,1,1,51.49,129.6,78.6,83.8,9.3,39.3,36.9,1,0
2011-11-22,07:27,1,0,51.65,128.6,76.1,82.6,9.3,40.7,37.5,1,0
2011-11-21,16:50,0,1,51.31,123.1,60.9,67.2,10.05,50.6,45.8,1,0
2011-11-21,07:24,0,0,52.25,127.3,38.1,50.3,10.05,82.3,62.4,1,Huge traffic backup
2011-11-17,16:16,3,1,51.16,127.6,72.4,77.4,10.05,42.4,39.6,1,Pumped tires up: check fuel economy improved?
2011-11-17,07:42,3,0,51.67,127.0,70.9,77.7,10.05,43.7,39.9,1,0
2011-11-16,16:13,2,1,51.12,125.1,65.0,73.1,9.53,47.2,41.9,1,Backed up at Bronte
2011-11-16,07:26,2,0,51.7,129.8,73.4,80.4,9.53,42.3,38.6,1,0
2011-11-15,17:36,1,1,51.06,122.8,61.4,70.9,9.53,49.9,43.2,1,Backed up at Bronte
2011-11-15,07:21,1,0,51.5,127.6,70.5,77.7,9.53,43.8,39.8,1,0
2011-11-14,16:15,0,1,51.06,119.5,64.4,70.2,9.53,47.6,43.6,1,0
2011-11-14,07:19,0,0,51.66,126.4,55.2,59.1,9.53,56.1,52.5,1,0
2011-11-10,16:11,3,1,51.07,129.8,75.2,82.6,9.53,40.8,37.1,1,0
2011-11-10,07:25,3,0,51.68,132.5,69.8,74.7,9.53,44.4,41.5,1,0
2011-11-09,16:15,2,1,51.28,121.4,65.9,71.8,9.35,46.7,42.1,1,Rainy
2011-11-09,07:25,2,0,51.79,127.5,65.6,72.4,9.35,47.3,42.9,1,0
2011-11-08,17:24,1,1,50.75,131.3,89.5,93.5,9.35,34.3,32.6,0,0
2011-11-08,07:25,1,0,51.82,126.8,66.1,73.9,9.35,47.0,42.1,1,0
2011-11-07,16:05,0,1,51.06,127.4,80.4,85.2,9.35,38.1,36.0,1,0
2011-11-07,07:19,0,0,51.62,125.4,74.9,82.9,9.35,41.4,37.4,1,0
2011-11-04,12:12,4,1,51.03,128.4,82.2,89.7,9.35,37.2,34.1,1,0
2011-11-04,08:16,4,0,51.81,130.2,82.1,85.0,9.35,37.9,36.6,1,0
2011-11-03,17:00,3,1,51.07,130.3,75.8,81.7,8.32,40.4,37.5,1,0
2011-11-03,07:46,3,0,51.83,133.0,80.6,85.4,8.32,38.6,36.4,1,0
2011-11-02,16:45,2,1,51.27,121.5,75.1,79.1,8.32,41.0,38.9,1,0
2011-11-02,07:51,2,0,51.83,129.3,72.5,78.1,8.32,42.9,39.8,1,0
2011-11-01,08:13,1,0,51.74,129.7,71.8,79.4,8.32,43.2,39.1,1,0
2011-10-31,15:49,0,1,51.06,125.0,76.4,85.7,8.32,40.1,35.7,1,0
2011-10-31,06:21,0,0,50.58,125.0,104.4,106.2,8.32,29.1,28.6,0,0
2011-10-28,12:14,4,1,51.28,120.5,83.0,89.5,8.32,37.1,34.4,1,0
2011-10-27,08:20,3,0,51.77,125.6,82.4,89.5,8.97,37.7,34.7,1,0
2011-10-26,08:20,2,0,51.75,127.9,74.6,81.7,8.97,41.6,38.0,1,0
2011-10-25,17:24,1,1,52.87,123.5,65.1,72.4,8.97,48.7,43.8,1,"Rain, rain, rain"
2011-10-25,08:13,1,0,51.75,127.4,72.1,82.0,8.97,43.1,37.8,1,0
2011-10-24,17:29,0,1,51.06,126.5,71.6,78.6,8.97,42.8,39.0,1,0
2011-10-21,08:31,4,0,50.64,129.0,106.6,112.1,8.97,28.5,27.1,0,0
2011-10-20,17:37,3,1,51.33,125.2,72.5,79.6,8.75,42.5,38.7,1,0
2011-10-20,08:22,3,0,51.74,124.5,68.9,79.2,8.75,45.0,39.2,1,0
2011-10-19,17:39,2,1,51.3,126.2,63.4,73.3,8.75,48.6,42.0,1,0
2011-10-19,08:24,2,0,51.68,130.2,75.7,81.6,8.75,41.0,38.0,1,0
2011-10-18,17:28,1,1,51.36,133.1,69.5,79.1,8.75,44.4,38.9,1,0
2011-10-18,08:14,1,0,51.74,130.8,80.8,85.2,8.75,38.4,36.5,1,0
2011-10-17,16:58,0,1,51.3,127.3,78.6,82.9,8.75,39.1,37.1,1,0
2011-10-17,08:22,0,0,50.61,137.1,93.7,100.3,8.75,32.4,30.3,0,0
2011-10-13,08:36,3,0,50.66,128.3,105.5,111.3,8.75,28.8,27.3,0,0
2011-10-12,17:47,2,1,51.4,114.4,59.7,65.8,8.75,51.7,46.9,1,"Rain, rain, rain"
2011-10-12,08:28,2,0,50.58,128.4,59.5,67.3,8.75,51.0,45.1,0,Accident: backup from Hamilton to 407 ramp
2011-10-11,17:17,1,1,51.52,135.1,67.3,78.4,7.81,46.0,39.5,1,0
2011-10-11,08:25,1,0,48.94,130.8,85.7,93.2,7.81,34.3,31.5,0,0
2011-10-07,12:15,4,1,51.02,124.8,80.4,88.9,7.97,38.1,34.4,0,0
2011-10-07,08:23,4,0,50.68,128.3,101.9,107.2,7.97,29.9,28.4,0,0
2011-10-06,17:58,3,1,51.29,126.0,73.3,76.3,7.97,42.0,40.3,1,0
2011-10-06,08:22,3,0,50.63,125.6,38.5,103.8,7.97,30.8,29.3,0,0
2011-10-05,17:10,2,1,51.31,127.5,69.5,75.5,7.97,44.3,40.8,1,0
2011-10-05,08:36,2,0,50.59,128.5,103.4,108.0,7.97,29.4,28.1,0,0
2011-10-04,17:39,1,1,51.15,128.8,76.0,85.2,7.97,40.4,36.0,1,0
2011-10-04,07:42,1,0,50.67,127.3,94.9,97.9,7.97,32.0,31.1,0,0
2011-10-03,17:31,0,1,51.22,126.7,81.2,86.4,7.97,37.8,35.6,1,0
2011-10-03,07:41,0,0,50.65,127.4,91.1,95.2,7.97,33.4,31.9,0,0
2011-09-29,17:17,3,1,51.39,128.4,65.3,71.9,8.93,47.2,42.9,1,0
2011-09-29,08:22,3,0,50.65,122.8,83.5,86.9,8.93,36.4,35.0,0,0
2011-09-28,17:53,2,1,51.23,124.9,79.2,81.5,8.93,38.8,37.7,1,0
2011-09-28,07:57,2,0,50.65,128.8,102.2,105.7,8.93,29.7,28.7,0,0
2011-09-27,17:26,1,1,51.11,130.1,69.8,75.6,8.31,44.0,40.6,1,0
2011-09-27,07:36,1,0,50.65,128.1,86.3,88.6,8.31,35.2,34.3,0,Raining
2011-09-26,17:37,0,1,50.69,132.3,97.2,103.6,8.31,31.3,29.3,0,0
2011-09-26,08:02,0,0,50.65,129.4,88.2,91.3,8.31,34.4,33.3,0,0
2011-09-22,17:27,3,1,51.11,124.8,74.3,79.6,8.31,41.3,38.5,1,0
2011-09-22,07:37,3,0,50.67,130.0,97.6,101.6,8.31,31.1,29.9,0,0
2011-09-21,18:05,2,1,51.74,133.3,82.9,89.2,8.33,37.4,34.8,0,0
2011-09-21,08:02,2,0,49.16,128.7,59.5,68.0,8.33,49.6,43.4,1,0
2011-09-20,17:20,1,1,51.23,127.2,71.7,76.9,8.33,42.9,40.0,1,0
2011-09-20,08:10,1,0,51.69,128.7,70.4,70.1,8.33,44.1,39.7,1,0
2011-09-19,16:43,0,1,51.3,123.9,69.6,75.2,8.33,44.2,40.9,1,0
2011-09-19,06:34,0,0,49.09,123.7,69.4,79.1,8.33,42.4,37.3,1,0
2011-09-15,17:50,3,1,51.13,127.5,69.0,75.9,8.33,44.4,40.4,1,0
2011-09-15,08:08,3,0,50.67,129.3,99.0,103.3,8.33,30.7,29.4,0,0
2011-09-14,17:36,2,1,51.77,127.0,71.1,79.6,8.33,43.7,39.0,1,0
2011-09-14,08:11,2,0,50.54,126.8,98.7,103.7,8.33,30.7,29.3,0,0
2011-09-13,17:22,1,1,51.58,134.3,70.0,80.0,8.5,44.2,38.7,1,0
2011-09-13,07:51,1,0,49.12,129.1,52.7,63.2,8.5,55.9,46.6,1,0
2011-09-12,17:04,0,1,51.43,131.1,75.1,79.5,8.5,40.6,38.8,1,0
2011-09-12,08:05,0,0,49.12,127.5,65.7,73.1,8.5,44.8,40.3,1,0
2011-09-08,16:37,3,1,50.92,137.0,66.9,77.7,8.5,45.6,39.3,1,0
2011-09-08,07:23,3,0,49.25,124.7,53.5,63.1,8.5,55.2,46.9,1,0
2011-09-07,17:24,2,1,51.34,132.8,71.5,76.6,8.5,43.1,40.2,1,0
2011-09-07,07:57,2,0,49.08,125.1,56.5,66.5,8.5,52.1,44.3,1,Back to school traffic?
2011-09-06,16:27,1,1,52.88,131.6,95.4,98.3,8.5,33.3,32.3,0,Took 407 all the way (to McMaster)
2011-09-06,07:50,1,0,54.36,132.5,95.1,98.0,8.5,34.3,33.3,0,0
2011-09-02,17:07,4,1,51.17,129.7,77.7,87.9,8.5,39.5,34.9,1,0
2011-09-02,07:39,4,0,51.65,132.7,82.6,91.4,8.5,37.5,33.9,1,0
2011-09-01,17:33,3,1,52.42,128.9,81.6,88.0,8.5,38.5,35.7,1,0
2011-09-01,08:08,3,0,49.13,126.8,67.3,73.9,8.5,43.8,39.9,1,0
2011-08-31,17:14,2,1,51.15,140.9,71.5,79.5,8.5,42.9,38.6,1,0
2011-08-31,08:09,2,0,49.07,127.7,65.9,77.3,8.5,44.7,38.1,1,0
2011-08-30,17:38,1,1,51.66,138.0,67.1,73.2,8.5,46.2,42.4,1,0
2011-08-30,07:57,1,0,49.04,133.5,69.1,77.8,8.5,42.6,37.8,1,0
2011-08-29,17:11,0,1,51.04,131.0,75.5,84.1,8.5,40.5,36.4,1,0
2011-08-29,07:48,0,0,49.15,124.0,63.9,74.0,8.5,46.1,39.9,1,0
2011-08-26,16:29,4,1,50.88,132.7,81.1,86.9,8.54,37.6,35.2,1,0
2011-08-26,07:49,4,0,49.01,129.1,76.3,83.3,8.54,38.6,35.3,1,0
2011-08-25,17:39,3,1,51.23,132.8,64.2,70.6,8.54,47.9,43.5,1,0
2011-08-25,09:09,3,0,50.45,133.5,106.8,111.1,8.54,28.3,27.3,0,0
2011-08-24,16:47,2,1,51.01,132.9,79.6,86.1,8.54,38.5,38.5,1,0
2011-08-24,07:59,2,0,49.07,127.1,58.5,71.5,8.54,50.3,41.1,1,Heavy volume on Derry
2011-08-23,17:23,1,1,51.22,129.7,79.7,84.5,8.54,38.5,36.4,1,0
2011-08-23,07:54,1,0,49.2,124.5,71.0,76.7,8.54,41.6,38.5,1,0
2011-08-22,16:44,0,1,51.12,126.8,77.9,85.2,8.54,39.6,36.0,1,0
2011-08-22,07:49,0,0,49.18,123.8,65.6,73.3,8.54,45.0,40.2,1,0
2011-08-19,17:42,4,1,51.09,126.5,78.1,81.6,8.37,39.3,37.6,1,0
2011-08-19,07:05,4,0,49.18,123.0,72.0,81.4,8.37,41.0,36.3,1,Start early to run a batch
2011-08-18,17:05,3,1,50.97,129.6,66.6,76.2,8.37,45.9,40.2,1,0
2011-08-18,08:11,3,0,52.26,137.7,51.2,64.1,8.37,61.2,48.9,1,Accident at 403/highway 6; detour along Dundas
2011-08-17,17:17,2,1,51.11,129.8,68.9,75.7,8.37,44.5,40.5,1,0
2011-08-17,08:10,2,0,49.1,124.8,67.9,76.2,8.37,43.4,38.7,1,0
2011-08-16,17:27,1,1,51.14,133.4,82.4,87.0,8.37,37.2,35.3,1,0
2011-08-16,08:15,1,0,49.14,131.7,75.0,80.2,8.37,39.3,36.7,1,0
2011-08-15,17:38,0,1,51.11,132.3,78.0,83.7,8.37,39.3,36.7,1,0
2011-08-15,08:15,0,0,49.2,124.7,71.3,75.7,8.37,41.4,39.0,1,0
2011-08-12,17:25,4,1,55.57,127.7,69.6,77.1,8.54,47.9,43.2,1,Detour taken
2011-08-12,08:05,4,0,49.02,128.4,76.7,82.9,8.54,38.4,35.5,1,Must be Friday
2011-08-11,17:25,3,1,51.18,133.6,80.7,86.0,8.54,38.0,35.7,1,0
2011-08-11,08:13,3,0,48.99,125.5,68.3,79.5,8.54,43.0,37.0,1,0
2011-08-10,17:14,2,1,51.03,127.4,73.5,79.3,8.54,41.7,38.6,1,0
2011-08-10,08:13,2,0,48.98,124.8,72.8,78.8,8.54,40.4,37.3,1,0
2011-08-09,17:13,1,1,51.15,127.1,72.1,82.3,8.54,42.5,37.3,1,0
2011-08-09,08:15,1,0,49.08,134.8,60.5,67.2,8.54,48.7,43.8,1,Medium amount of rain
2011-08-08,17:05,0,1,52.35,127.5,76.9,84.2,8.54,40.9,37.3,1,0
2011-08-08,08:07,0,0,49.25,126.3,68.5,78.2,8.54,43.1,37.8,1,New tires
2011-08-05,17:00,4,1,51.94,126.7,74.5,82.6,8.48,41.9,37.7,1,0
2011-08-05,08:20,4,0,49.13,123.9,74.1,79.9,8.48,39.8,36.9,1,0
2011-08-04,17:38,3,1,50.96,131.9,70.3,78.5,8.48,43.5,38.9,1,0
2011-08-04,08:17,3,0,49.12,122.4,71.5,77.3,8.48,41.2,38.2,1,0
2011-08-03,17:14,2,1,51.64,125.0,72.2,78.7,8.48,42.9,39.4,1,0
2011-08-03,08:06,2,0,49.06,121.9,71.5,78.7,8.48,41.2,37.4,1,0
2011-08-02,17:22,1,1,51.16,124.2,76.3,83.2,8.48,40.2,36.9,1,0
2011-08-02,07:38,1,0,53.48,124.9,68.8,78.8,8.48,46.7,40.7,1,Turn around on Derry
2011-07-29,20:31,4,1,50.68,135.6,107.7,110.4,8.45,28.2,27.6,0,0
2011-07-29,08:22,4,0,49.07,121.1,73.2,77.7,8.45,40.2,37.9,1,Empty roads
2011-07-28,17:46,3,1,51.09,128.5,76.0,84.8,8.45,40.3,36.2,1,0
2011-07-28,08:11,3,0,49.11,120.1,69.1,73.1,8.45,42.6,40.3,1,0
2011-07-27,17:24,2,1,50.98,124.9,68.3,71.9,8.45,44.8,42.6,1,Police slowdown on 403
2011-07-27,08:15,2,0,48.82,124.5,70.4,77.8,8.45,41.6,37.6,1,0
2011-07-26,17:15,1,1,51.28,122.1,43.7,51.5,8.45,70.5,59.8,1,Accident blocked 407 exit
2011-07-26,08:11,1,0,49.16,122.6,71.9,76.8,8.45,41.0,38.4,1,0
2011-07-25,16:59,0,1,51.05,126.6,70.4,78.8,8.45,51.1,38.9,1,0
2011-07-25,08:06,0,0,48.32,121.2,63.4,78.4,8.45,45.7,37.0,1,0
2011-07-22,16:47,4,1,51.24,126.3,75.8,81.8,8.28,40.6,37.6,1,0
2011-07-22,08:28,4,0,51.05,123.3,88.9,96.7,8.28,34.5,31.7,0,0
2011-07-21,07:59,3,0,48.35,129.3,81.5,89.0,8.28,35.6,32.6,0,0
2011-07-20,17:17,2,1,53.47,124.0,58.6,71.0,7.89,54.8,45.2,1,0
2011-07-20,08:24,2,0,48.5,125.8,75.7,87.3,7.89,38.5,33.3,0,0
2011-07-19,17:17,1,1,51.16,126.7,92.2,102.6,7.89,33.3,29.9,0,0
2011-07-19,08:11,1,0,50.96,124.3,82.3,96.4,7.89,37.2,31.7,0,0
2011-07-18,08:09,0,0,54.52,125.6,49.9,82.4,7.89,65.5,39.7,1,0
2011-07-14,08:03,3,0,50.9,123.7,76.2,95.1,7.89,40.1,32.1,0,0
2011-07-13,17:08,2,1,51.96,132.6,57.5,76.7,8.690591397849461,54.2,40.6,0,0
2011-07-12,17:51,1,1,53.28,125.8,61.6,87.6,8.690591397849461,51.9,36.5,0,0
2011-07-11,16:56,0,1,51.73,125.0,62.8,92.5,8.690591397849461,49.5,33.6,0,0
